step,timestamp,scenario,zone_id,crop,soil_moisture,target_moisture,moisture_error,rsm,soil_stress,weather_stress,et0,etc,rainfall,effective_rainfall,crop_water_deficit,water_demand,irrigation_command,irrigation_application,infiltration,actual_et,drainage,next_soil_moisture,water_balance_residual,storage_mm
0,2026-06-01 00:00:00,Normal,1,Tomato,55.0,60.0,5.0,0.6667,25.99,15.74,0.000264,0.000304,0.0,0.0,0.000304,9.23,21.66,0.043316,0.0433,0.0003,0.0,55.0061,0.0,385.0
1,2026-06-01 00:01:00,Normal,1,Tomato,55.0061,60.0,4.9939,0.6668,25.95,15.87,0.000298,0.000343,0.0,0.0,0.000343,9.23,21.53,0.043056,0.0431,0.0003,0.0,55.0122,0.0,385.043
2,2026-06-01 00:02:00,Normal,1,Tomato,55.0122,60.0,4.9878,0.6669,25.91,15.74,0.000199,0.000229,0.0,0.0,0.000229,9.23,21.4,0.042795,0.0428,0.0002,0.0,55.0183,0.0,385.0857
3,2026-06-01 00:03:00,Normal,1,Tomato,55.0183,60.0,4.9817,0.6671,25.87,15.74,0.000312,0.000359,0.0,0.0,0.000359,9.23,21.27,0.042532,0.0425,0.0004,0.0,55.0244,0.0,385.1283
4,2026-06-01 00:04:00,Normal,1,Tomato,55.0244,60.0,4.9756,0.6672,25.83,16.01,0.000218,0.000251,0.0,0.0,0.000251,9.23,21.13,0.042269,0.0423,0.0003,0.0,55.0304,0.0,385.1705
5,2026-06-01 00:05:00,Normal,1,Tomato,55.0304,60.0,4.9696,0.6673,25.79,15.97,0.000251,0.000289,0.0,0.0,0.000289,9.23,21.0,0.042009,0.042,0.0003,0.0,55.0363,0.0,385.2125
6,2026-06-01 00:06:00,Normal,1,Tomato,55.0363,60.0,4.9637,0.6675,25.75,15.87,0.000366,0.000421,0.0,0.0,0.000421,9.23,20.88,0.041753,0.0418,0.0004,0.0,55.0422,0.0,385.2542
7,2026-06-01 00:07:00,Normal,1,Tomato,55.0422,60.0,4.9578,0.6676,25.71,15.93,0.000322,0.00037,0.0,0.0,0.00037,9.23,20.75,0.041497,0.0415,0.0004,0.0,55.0481,0.0,385.2955
8,2026-06-01 00:08:00,Normal,1,Tomato,55.0481,60.0,4.9519,0.6677,25.67,15.92,0.000336,0.000386,0.0,0.0,0.000386,9.23,20.62,0.04124,0.0412,0.0004,0.0,55.0539,0.0,385.3366
9,2026-06-01 00:09:00,Normal,1,Tomato,55.0539,60.0,4.9461,0.6679,25.63,16.01,0.000156,0.000179,0.0,0.0,0.000179,9.23,20.49,0.040987,0.041,0.0002,0.0,55.0598,0.0,385.3775
10,2026-06-01 00:10:00,Normal,1,Tomato,55.0598,60.0,4.9402,0.668,25.59,15.88,0.000434,0.000499,0.0,0.0,0.000499,9.23,20.36,0.040729,0.0407,0.0005,0.0,55.0655,0.0,385.4183
11,2026-06-01 00:11:00,Normal,1,Tomato,55.0655,60.0,4.9345,0.6681,25.55,15.9,0.0002,0.00023,0.0,0.0,0.00023,9.23,20.24,0.040477,0.0405,0.0002,0.0,55.0712,0.0,385.4585
12,2026-06-01 00:12:00,Normal,1,Tomato,55.0712,60.0,4.9288,0.6682,25.51,15.98,0.000385,0.000443,0.0,0.0,0.000443,9.23,20.11,0.040226,0.0402,0.0004,0.0,55.0769,0.0,385.4987
13,2026-06-01 00:13:00,Normal,1,Tomato,55.0769,60.0,4.9231,0.6684,25.47,15.91,0.000369,0.000424,0.0,0.0,0.000424,9.23,19.99,0.039975,0.04,0.0004,0.0,55.0826,0.0,385.5385
14,2026-06-01 00:14:00,Normal,1,Tomato,55.0826,60.0,4.9174,0.6685,25.43,15.99,0.000327,0.000376,0.0,0.0,0.000376,9.23,19.86,0.039723,0.0397,0.0004,0.0,55.0882,0.0,385.5781
15,2026-06-01 00:15:00,Normal,1,Tomato,55.0882,60.0,4.9118,0.6686,25.39,15.98,0.000215,0.000247,0.0,0.0,0.000247,9.23,19.74,0.039474,0.0395,0.0002,0.0,55.0938,0.0,385.6174
16,2026-06-01 00:16:00,Normal,1,Tomato,55.0938,60.0,4.9062,0.6688,25.35,16.04,0.00027,0.00031,0.0,0.0,0.00031,9.23,19.61,0.039222,0.0392,0.0003,0.0,55.0994,0.0,385.6566
17,2026-06-01 00:17:00,Normal,1,Tomato,55.0994,60.0,4.9006,0.6689,25.32,15.92,0.000224,0.000258,0.0,0.0,0.000258,9.23,19.49,0.03897,0.039,0.0003,0.0,55.1049,0.0,385.6955
