step,timestamp,scenario,zone_id,crop,soil_type,area_m2,soil_moisture,target_moisture,moisture_error,rsm,soil_stress,weather_stress,water_demand,et0,kc,etc,rainfall,effective_rainfall,crop_water_deficit,irrigation_command,irrigation_application,irrigation_volume_l,infiltration,actual_et,drainage,next_soil_moisture,water_balance_residual,storage_mm
0,2026-06-01 00:00:00,Normal,1,Tomato,Loam,100.0,55.0,60.0,5.0,0.6667,25.99,15.74,9.23,0.000264,1.15,0.000304,0.0,0.0,0.000304,21.66,0.043316,4.3316,0.0433,0.0003,0.0,55.0061,0.0,385.0
0,2026-06-01 00:00:00,Normal,2,Wheat,Sandy,120.0,42.0,55.0,13.0,0.5714,56.37,15.74,9.23,0.000264,0.85,0.000224,0.0,0.0,0.000224,62.52,0.125044,15.0053,0.125,0.0002,0.0,42.0139,0.0,378.0
0,2026-06-01 00:00:00,Normal,3,Maize,Clay,80.0,65.0,65.0,0.0,0.7778,14.15,15.74,9.23,0.000264,1.2,0.000317,0.0,0.0,0.000317,5.36,0.010725,0.858,0.0107,0.0003,0.0,65.001,0.0,650.0
1,2026-06-01 00:01:00,Normal,1,Tomato,Loam,100.0,55.0061,60.0,4.9939,0.6668,25.95,15.87,9.23,0.000298,1.15,0.000343,0.0,0.0,0.000343,21.53,0.043056,4.3056,0.0431,0.0003,0.0,55.0122,0.0,385.043
1,2026-06-01 00:01:00,Normal,2,Wheat,Sandy,120.0,42.0139,55.0,12.9861,0.5718,56.3,15.87,9.23,0.000298,0.85,0.000253,0.0,0.0,0.000253,62.38,0.124765,14.9718,0.1248,0.0003,0.0,42.0277,0.0,378.1248
1,2026-06-01 00:01:00,Normal,3,Maize,Clay,80.0,65.001,65.0,-0.001,0.7778,14.15,15.87,9.23,0.000298,1.2,0.000358,0.0,0.0,0.000358,5.36,0.010725,0.858,0.0107,0.0004,0.0,65.0021,0.0,650.0104
2,2026-06-01 00:02:00,Normal,1,Tomato,Loam,100.0,55.0122,60.0,4.9878,0.6669,25.91,15.74,9.23,0.000199,1.15,0.000229,0.0,0.0,0.000229,21.4,0.042795,4.2795,0.0428,0.0002,0.0,55.0183,0.0,385.0857
2,2026-06-01 00:02:00,Normal,2,Wheat,Sandy,120.0,42.0277,55.0,12.9723,0.5721,56.24,15.74,9.23,0.000199,0.85,0.000169,0.0,0.0,0.000169,62.24,0.12449,14.9388,0.1245,0.0002,0.0,42.0415,0.0,378.2493
2,2026-06-01 00:02:00,Normal,3,Maize,Clay,80.0,65.0021,65.0,-0.0021,0.7778,14.15,15.74,9.23,0.000199,1.2,0.000239,0.0,0.0,0.000239,5.36,0.010726,0.8581,0.0107,0.0002,0.0,65.0031,0.0,650.0208
3,2026-06-01 00:03:00,Normal,1,Tomato,Loam,100.0,55.0183,60.0,4.9817,0.6671,25.87,15.74,9.23,0.000312,1.15,0.000359,0.0,0.0,0.000359,21.27,0.042532,4.2532,0.0425,0.0004,0.0,55.0244,0.0,385.1283
3,2026-06-01 00:03:00,Normal,2,Wheat,Sandy,120.0,42.0415,55.0,12.9585,0.5724,56.17,15.74,9.23,0.000312,0.85,0.000265,0.0,0.0,0.000265,62.11,0.124217,14.906,0.1242,0.0003,0.0,42.0553,0.0,378.3736
3,2026-06-01 00:03:00,Normal,3,Maize,Clay,80.0,65.0031,65.0,-0.0031,0.7778,14.15,15.74,9.23,0.000312,1.2,0.000374,0.0,0.0,0.000374,5.36,0.010727,0.8581,0.0107,0.0004,0.0,65.0042,0.0,650.0313
4,2026-06-01 00:04:00,Normal,1,Tomato,Loam,100.0,55.0244,60.0,4.9756,0.6672,25.83,16.01,9.23,0.000218,1.15,0.000251,0.0,0.0,0.000251,21.13,0.042269,4.2269,0.0423,0.0003,0.0,55.0304,0.0,385.1705
4,2026-06-01 00:04:00,Normal,2,Wheat,Sandy,120.0,42.0553,55.0,12.9447,0.5727,56.1,16.01,9.23,0.000218,0.85,0.000185,0.0,0.0,0.000185,61.97,0.123943,14.8732,0.1239,0.0002,0.0,42.069,0.0,378.4976
4,2026-06-01 00:04:00,Normal,3,Maize,Clay,80.0,65.0042,65.0,-0.0042,0.7779,14.15,16.01,9.23,0.000218,1.2,0.000262,0.0,0.0,0.000262,5.36,0.010727,0.8582,0.0107,0.0003,0.0,65.0052,0.0,650.0417
5,2026-06-01 00:05:00,Normal,1,Tomato,Loam,100.0,55.0304,60.0,4.9696,0.6673,25.79,15.97,9.23,0.000251,1.15,0.000289,0.0,0.0,0.000289,21.0,0.042009,4.2009,0.042,0.0003,0.0,55.0363,0.0,385.2125
5,2026-06-01 00:05:00,Normal,2,Wheat,Sandy,120.0,42.069,55.0,12.931,0.5731,56.04,15.97,9.23,0.000251,0.85,0.000213,0.0,0.0,0.000213,61.84,0.123673,14.8407,0.1237,0.0002,0.0,42.0828,0.0,378.6214
5,2026-06-01 00:05:00,Normal,3,Maize,Clay,80.0,65.0052,65.0,-0.0052,0.7779,14.16,15.97,9.23,0.000251,1.2,0.000301,0.0,0.0,0.000301,5.36,0.010728,0.8582,0.0107,0.0003,0.0,65.0063,0.0,650.0522
6,2026-06-01 00:06:00,Normal,1,Tomato,Loam,100.0,55.0363,60.0,4.9637,0.6675,25.75,15.87,9.23,0.000366,1.15,0.000421,0.0,0.0,0.000421,20.88,0.041753,4.1753,0.0418,0.0004,0.0,55.0422,0.0,385.2542
6,2026-06-01 00:06:00,Normal,2,Wheat,Sandy,120.0,42.0828,55.0,12.9172,0.5734,55.97,15.87,9.23,0.000366,0.85,0.000311,0.0,0.0,0.000311,61.7,0.123401,14.8081,0.1234,0.0003,0.0,42.0964,0.0,378.7449
6,2026-06-01 00:06:00,Normal,3,Maize,Clay,80.0,65.0063,65.0,-0.0063,0.7779,14.16,15.87,9.23,0.000366,1.2,0.000439,0.0,0.0,0.000439,5.36,0.010728,0.8583,0.0107,0.0004,0.0,65.0073,0.0,650.0626
7,2026-06-01 00:07:00,Normal,1,Tomato,Loam,100.0,55.0422,60.0,4.9578,0.6676,25.71,15.93,9.23,0.000322,1.15,0.00037,0.0,0.0,0.00037,20.75,0.041497,4.1497,0.0415,0.0004,0.0,55.0481,0.0,385.2955
7,2026-06-01 00:07:00,Normal,2,Wheat,Sandy,120.0,42.0964,55.0,12.9036,0.5737,55.91,15.93,9.23,0.000322,0.85,0.000274,0.0,0.0,0.000274,61.57,0.123133,14.7759,0.1231,0.0003,0.0,42.1101,0.0,378.868
