timestep,timestamp,scenario,supply_scenario,zone_id,crop,soil_type,area_m2,available_water,zone_priority,zone_stress,zone_demand,irrigation_command,irrigation_request_mm,allocation_factor,allocated_irrigation_mm,unmet_demand_mm,allocation_ratio,water_volume_requested_L,water_volume_allocated_L,water_volume_unmet_L,rainfall_mm,effective_rainfall_mm,soil_moisture,moisture_error,et0_mm_day,etc_mm_step,water_balance_residual_mm
0,2026-06-01 00:00:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.9938,9.2326,21.658,0.0433,74.5847,0.0323,0.011,0.7458,4.3316,3.2307,1.1009,0.0,0.0,55.0,5.0,0.0003,0.0003,0.0
0,2026-06-01 00:00:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.3718,9.2326,62.5222,0.125,91.2443,0.1141,0.0109,0.9124,15.0053,13.6915,1.3138,0.0,0.0,42.0,13.0,0.0003,0.0002,0.0
0,2026-06-01 00:00:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1506,9.2326,5.3624,0.0107,57.4405,0.0062,0.0046,0.5744,0.858,0.4928,0.3652,0.0,0.0,65.0,0.0,0.0003,0.0003,0.0
1,2026-06-01 00:01:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.9627,9.2326,21.5598,0.0431,74.2146,0.032,0.0111,0.7421,4.312,3.2001,1.1119,0.0,0.0,55.0046,4.9954,0.0003,0.0003,0.0
1,2026-06-01 00:01:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.3267,9.2326,62.4296,0.1249,91.2306,0.1139,0.0109,0.9123,14.9831,13.6692,1.3139,0.0,0.0,42.0092,12.9908,0.0003,0.0003,0.0
1,2026-06-01 00:01:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1512,9.2326,5.3626,0.0107,57.4405,0.0062,0.0046,0.5744,0.858,0.4928,0.3652,0.0,0.0,65.0006,-0.0006,0.0003,0.0004,0.0
2,2026-06-01 00:02:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.9323,9.2326,21.4636,0.0429,73.8561,0.0317,0.0112,0.7386,4.2927,3.1704,1.1223,0.0,0.0,55.0091,4.9909,0.0002,0.0002,0.0
2,2026-06-01 00:02:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.2813,9.2326,62.3367,0.1247,91.2168,0.1137,0.011,0.9122,14.9608,13.6468,1.314,0.0,0.0,42.0185,12.9815,0.0002,0.0002,0.0
2,2026-06-01 00:02:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1517,9.2326,5.3627,0.0107,57.4405,0.0062,0.0046,0.5744,0.858,0.4929,0.3652,0.0,0.0,65.0012,-0.0012,0.0002,0.0002,0.0
3,2026-06-01 00:03:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.9019,9.2326,21.3673,0.0427,73.5024,0.0314,0.0113,0.735,4.2735,3.1411,1.1324,0.0,0.0,55.0136,4.9864,0.0003,0.0004,0.0
3,2026-06-01 00:03:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.2366,9.2326,62.245,0.1245,91.2028,0.1135,0.011,0.912,14.9388,13.6246,1.3142,0.0,0.0,42.0277,12.9723,0.0003,0.0003,0.0
3,2026-06-01 00:03:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1522,9.2326,5.3629,0.0107,57.4405,0.0062,0.0046,0.5744,0.8581,0.4929,0.3652,0.0,0.0,65.0018,-0.0018,0.0003,0.0004,0.0
4,2026-06-01 00:04:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.872,9.2326,21.2726,0.0425,73.1615,0.0311,0.0114,0.7316,4.2545,3.1127,1.1418,0.0,0.0,55.018,4.982,0.0002,0.0003,0.0
4,2026-06-01 00:04:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.1922,9.2326,62.1538,0.1243,91.1891,0.1134,0.011,0.9119,14.9169,13.6026,1.3143,0.0,0.0,42.0369,12.9631,0.0002,0.0002,0.0
4,2026-06-01 00:04:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1527,9.2326,5.3631,0.0107,57.4405,0.0062,0.0046,0.5744,0.8581,0.4929,0.3652,0.0,0.0,65.0023,-0.0023,0.0002,0.0003,0.0
5,2026-06-01 00:05:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.8413,9.2326,21.1755,0.0424,72.8155,0.0308,0.0115,0.7282,4.2351,3.0838,1.1513,0.0,0.0,55.0225,4.9775,0.0003,0.0003,0.0
5,2026-06-01 00:05:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.1474,9.2326,62.0617,0.1241,91.1754,0.1132,0.011,0.9118,14.8948,13.5804,1.3144,0.0,0.0,42.0462,12.9538,0.0003,0.0002,0.0
5,2026-06-01 00:05:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1532,9.2326,5.3632,0.0107,57.4405,0.0062,0.0046,0.5744,0.8581,0.4929,0.3652,0.0,0.0,65.0029,-0.0029,0.0003,0.0003,0.0
6,2026-06-01 00:06:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.812,9.2326,21.0826,0.0422,72.4888,0.0306,0.0116,0.7249,4.2165,3.0565,1.16,0.0,0.0,55.0268,4.9732,0.0004,0.0004,0.0
6,2026-06-01 00:06:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.1032,9.2326,61.9706,0.1239,91.1615,0.113,0.011,0.9116,14.8729,13.5584,1.3145,0.0,0.0,42.0554,12.9446,0.0004,0.0003,0.0
6,2026-06-01 00:06:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1538,9.2326,5.3634,0.0107,57.4405,0.0062,0.0046,0.5744,0.8581,0.4929,0.3652,0.0,0.0,65.0035,-0.0035,0.0004,0.0004,0.0
7,2026-06-01 00:07:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.7827,9.2326,20.9895,0.042,72.1682,0.0303,0.0117,0.7217,4.1979,3.0295,1.1684,0.0,0.0,55.0311,4.9689,0.0003,0.0004,0.0
7,2026-06-01 00:07:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.0591,9.2326,61.8796,0.1238,91.1476,0.1128,0.011,0.9115,14.8511,13.5364,1.3147,0.0,0.0,42.0646,12.9354,0.0003,0.0003,0.0
7,2026-06-01 00:07:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1543,9.2326,5.3636,0.0107,57.4405,0.0062,0.0046,0.5744,0.8582,0.4929,0.3652,0.0,0.0,65.0041,-0.0041,0.0003,0.0004,0.0
8,2026-06-01 00:08:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.7534,9.2326,20.8961,0.0418,71.8499,0.03,0.0118,0.7185,4.1792,3.0028,1.1765,0.0,0.0,55.0354,4.9646,0.0003,0.0004,0.0
8,2026-06-01 00:08:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,56.0146,9.2326,61.788,0.1236,91.134,0.1126,0.011,0.9113,14.8291,13.5144,1.3148,0.0,0.0,42.0739,12.9261,0.0003,0.0003,0.0
8,2026-06-01 00:08:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1548,9.2326,5.3638,0.0107,57.4405,0.0062,0.0046,0.5744,0.8582,0.493,0.3652,0.0,0.0,65.0047,-0.0047,0.0003,0.0004,0.0
9,2026-06-01 00:09:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.7248,9.2326,20.8049,0.0416,71.5418,0.0298,0.0118,0.7154,4.161,2.9768,1.1841,0.0,0.0,55.0396,4.9604,0.0002,0.0002,0.0
9,2026-06-01 00:09:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.9706,9.2326,61.6974,0.1234,91.1202,0.1124,0.011,0.9112,14.8074,13.4925,1.3149,0.0,0.0,42.0831,12.9169,0.0002,0.0001,0.0
9,2026-06-01 00:09:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1553,9.2326,5.3639,0.0107,57.4405,0.0062,0.0046,0.5744,0.8582,0.493,0.3653,0.0,0.0,65.0052,-0.0052,0.0002,0.0002,0.0
10,2026-06-01 00:10:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.6962,9.2326,20.7136,0.0414,71.2405,0.0295,0.0119,0.7124,4.1427,2.9513,1.1914,0.0,0.0,55.0438,4.9562,0.0004,0.0005,0.0
10,2026-06-01 00:10:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.9268,9.2326,61.6067,0.1232,91.1061,0.1123,0.011,0.9111,14.7856,13.4706,1.315,0.0,0.0,42.0923,12.9077,0.0004,0.0004,0.0
10,2026-06-01 00:10:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1558,9.2326,5.3641,0.0107,57.4405,0.0062,0.0046,0.5744,0.8583,0.493,0.3653,0.0,0.0,65.0058,-0.0058,0.0004,0.0005,0.0
11,2026-06-01 00:11:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.6675,9.2326,20.6222,0.0412,70.9419,0.0293,0.012,0.7094,4.1244,2.926,1.1985,0.0,0.0,55.048,4.952,0.0002,0.0002,0.0
11,2026-06-01 00:11:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.8826,9.2326,61.5152,0.123,91.0925,0.1121,0.011,0.9109,14.7636,13.4486,1.3151,0.0,0.0,42.1016,12.8984,0.0002,0.0002,0.0
11,2026-06-01 00:11:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1564,9.2326,5.3643,0.0107,57.4405,0.0062,0.0046,0.5744,0.8583,0.493,0.3653,0.0,0.0,65.0064,-0.0064,0.0002,0.0002,0.0
12,2026-06-01 00:12:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.6396,9.2326,20.5328,0.0411,70.6524,0.029,0.0121,0.7065,4.1066,2.9014,1.2052,0.0,0.0,55.0521,4.9479,0.0004,0.0004,0.0
12,2026-06-01 00:12:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.8392,9.2326,61.4253,0.1229,91.0788,0.1119,0.011,0.9108,14.7421,13.4269,1.3152,0.0,0.0,42.1108,12.8892,0.0004,0.0003,0.0
12,2026-06-01 00:12:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1569,9.2326,5.3644,0.0107,57.4405,0.0062,0.0046,0.5744,0.8583,0.493,0.3653,0.0,0.0,65.007,-0.007,0.0004,0.0005,0.0
13,2026-06-01 00:13:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.6116,9.2326,20.4433,0.0409,70.3679,0.0288,0.0121,0.7037,4.0887,2.8771,1.2116,0.0,0.0,55.0562,4.9438,0.0004,0.0004,0.0
13,2026-06-01 00:13:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.7959,9.2326,61.3355,0.1227,91.0649,0.1117,0.011,0.9106,14.7205,13.4052,1.3153,0.0,0.0,42.12,12.88,0.0004,0.0003,0.0
13,2026-06-01 00:13:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1575,9.2326,5.3646,0.0107,57.4405,0.0062,0.0046,0.5744,0.8583,0.493,0.3653,0.0,0.0,65.0076,-0.0076,0.0004,0.0004,0.0
14,2026-06-01 00:14:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.5836,9.2326,20.3532,0.0407,70.0858,0.0285,0.0122,0.7009,4.0706,2.8529,1.2177,0.0,0.0,55.0603,4.9397,0.0003,0.0004,0.0
14,2026-06-01 00:14:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.7527,9.2326,61.2463,0.1225,91.0513,0.1115,0.011,0.9105,14.6991,13.3837,1.3154,0.0,0.0,42.1292,12.8708,0.0003,0.0003,0.0
14,2026-06-01 00:14:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1579,9.2326,5.3648,0.0107,57.4405,0.0062,0.0046,0.5744,0.8584,0.493,0.3653,0.0,0.0,65.0081,-0.0081,0.0003,0.0004,0.0
15,2026-06-01 00:15:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.5563,9.2326,20.265,0.0405,69.8117,0.0283,0.0122,0.6981,4.053,2.8295,1.2235,0.0,0.0,55.0643,4.9357,0.0002,0.0002,0.0
15,2026-06-01 00:15:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.709,9.2326,61.1563,0.1223,91.0377,0.1114,0.011,0.9104,14.6775,13.3621,1.3154,0.0,0.0,42.1385,12.8615,0.0002,0.0002,0.0
15,2026-06-01 00:15:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1584,9.2326,5.3649,0.0107,57.4405,0.0062,0.0046,0.5744,0.8584,0.4931,0.3653,0.0,0.0,65.0087,-0.0087,0.0002,0.0003,0.0
